Probeta;ID-3;ID-4;Fecha;Colada Nº;Calidad;Cantidad PF/ Detalle;Cantidad Aros / Detalle;C;Si;Mn;P;S;Cr;Ni;Mo;Cu;V
J 606;CIAMPO;J 607;07/07/2010;18 F H3;WCB;BTE E16-150(2);COJINETE P33(CIAMPO)(3);0,204;0,382;0,9;0,019;0,01;0,088;0,043;0,017;0,021;0,003
J 607;CIAMPO;J 607;07/07/2010;18 F H3;WCB;BTE E16-150(2);COJINETE P33(CIAMPO)(3);0,204;0,382;0,9;0,019;0,01;0,088;0,043;0,017;0,021;0,003
J 608;;CRIS;12/07/2010;829 F H1;WCB;BTE E16-150;;0,245;0,408;0,88;0,016;0,012;0,066;0,035;0,013;0,023;0,004
J 609;;RICHARD;21/07/2010;87F  H4;WCB;CUNA E16-150;;0,2;0,293;0,89;0,025;0,008;0,184;0,033;0,013;0,015;0,002
J 610;;RICHARD;21/07/2010;87F  H4;WCB;CUNA E16-150;;0,2;0,293;0,89;0,025;0,008;0,184;0,033;0,013;0,015;0,002
J 611;;RICHARD;14/07/2010;846F  H1;WCB;ANILLO E16-150(3);;0,221;0,412;1,1;0,025;0,016;0,07;0,033;0,016;0,038;0,005
J 611;LODOLO;CARRERA;16/07/2010;70 F H4;WCB;ANILLO E16-150(3)-GUIAS (5);;0,248;0,54;0,96;0,023;0,014;0,099;0,031;0,015;0,02;0,002
J 611;LT ING.PLACA DE ENGANCHE#8;CARRERA;27/07/2010;61 F H3;WCB;ANILLO E16-150(4)-VOL E2-150(1;PRENSA E14-150(5 PANES)-PLA QI;0,247;0,57;0,86;0,018;0,009;0,081;0,115;0,014;0,014;0,003
J 613;;RICHARD;07/07/2010;16 F  H3;WCB;TAPA E 24"150(1);;0,213;0,455;0,81;0,017;0,013;0,055;0,028;0,016;0,022;0,003
J 614;;RICHARD;07/07/2010;16F  H3;WCB;TAPA E 24"150(1);;0,213;0,455;0,81;0,017;0,013;0,055;0,028;0,016;0,022;0,003
J 615;;RICHARD;12/07/2010;827F  H1;WCB;BONETE E 24"150(1);;0,185;0,384;0,74;0,015;0,011;0,053;0,031;0,012;0,023;0,004
J 616;;GUS/CARR;20/07/2010;885 F H1;WCB;CPO E24-150;;0,247;0,55;0,82;0,022;0,012;0,068;0,031;0,014;0,023;0,003
J 616;;GUS-CARR;20/07/2010;85 F H4;WCB;CPO 24-150;;0,224;0,497;0,94;0,021;0,011;0,087;0,032;0,015;0,019;0,003
J 617;;CRIS;23/07/2010;44 F H3;WCB;CPO E24-150;;0,208;0,478;0,93;0,024;0,009;0,056;0,034;0,017;0,016;0,003
J 618;;CRIS;28/07/2010;67 F H3;WCB;CPO E24-150(1)-COLUMNAS SUP IN;;0,2;0,475;0,98;0,022;0,01;0,025;0,036;0,016;0,017;0,004
J 619;LT INGENIERIA;RICHARD;26/07/2010;916F  H2;WCB;CUñA E 24"150(1);;0,202;0,386;0,89;0,018;0,007;0,034;0,035;0,013;0,011;0,001
J 619;;CRIS;26/07/2010;51 F H4;WCB;CUNA E24-150-CUNA E16;;0,208;0,459;1,03;0,018;0,007;0,045;0,031;0,016;0,013;0,002
J 619;;RICHARD;26/07/2010;915F  H2;WCB;CUñA E 24"150(1);;0,207;0,418;0,78;0,019;0,007;0,032;0,035;0,012;0,012;0,001
J 622;AR1305/AR1363/J623/J622;CARRERA;15/07/2010;61 F H4;WCB;TPA BUJE (1);VOL E4-600(3)-PLACA ENGANCHE(2;0,25;0,463;0,93;0,014;0,017;0,073;0,041;0,019;0,061;0,004
J 622;;CARRERA;15/07/2010;62 F H4;WCB;TPA BUJE(1)-VOL E24-150(1);VOL E4-600(3)-TENSOR FIJO(216);0,188;0,426;0,85;0,015;0,022;0,058;0,029;0,018;0,063;0,003
J 622;COMNAC;J 623;15/07/2010;60 F H4;WCB;ANILLO E24-150-VOL E24-150;BARRON;0,199;0,333;0,92;0,018;0,021;0,096;0,08;0,021;0,064;0,004
J 622;;RICHARD;15/07/2010;57F  H4;WCB;VOLANTES E 24"150(3)/ANILLOS E;;0,189;0,458;0,85;0,026;0,015;0,048;0,035;0,016;0,023;0,003
J 622;Err:508;CARRERA;16/07/2010;69 F H4;WCB;ANILLO E24-150(2)-CPO T COD 19;PLACA ENGANCHE(5)-GUIAS(4);0,18;0,499;0,98;0,023;0,012;0,13;0,033;0,016;0,018;0,003
J 622;SYLWAN;CARRERA;19/07/2010;79 F H4;WCB;ANILLO E24-150(1);BRIDA CON CABEZAL(10;0,2;0,493;0,79;0,015;0,012;0,036;0,027;0,012;0,041;0,003
J 622;;RICHARD;22/07/2010;896F  H1;WCB;ANILLO E24-150(1);;0,254;0,33;0,78;0,016;0,01;0,026;0,029;0,011;0,015;0,003
J 622;;RICHARD;26/07/2010;916F  H2;WCB;ANILLO E 24"150(1);;0,202;0,386;0,89;0,018;0,007;0,034;0,035;0,013;0,011;0,001
J 622;;CRIS;26/07/2010;52 F H3;WCB;ANILLO E24-150-VOL E-900(6);;0,213;0,495;0,96;0,02;0,009;0,036;0,032;0,015;0,011;0,002
J 622;PEREZ-FABIIMAQ;RICHARD;14/07/2010;847F  H1;WCB;ANILLOS E 24"150(2)/GUIA PASO;GUIA PASO 2(1);0,216;0,405;0,88;0,019;0,018;0,079;0,039;0,013;0,04;0,003
J 623;LODOLO;CARRERA;16/07/2010;70 F H4;WCB;TORRE E24-150-GUIAS (5);;0,248;0,54;0,96;0,023;0,014;0,099;0,031;0,015;0,02;0,002
J 623;;CARRERA;15/07/2010;62 F H4;WCB;PRENSA E24-150(1);VOL E4-600(3)-TENSOR FIJO(216);0,188;0,426;0,85;0,015;0,022;0,058;0,029;0,018;0,063;0,003
J 623;COMNAC;J 623;15/07/2010;60 F H4;WCB;TORRE E24-150(2);BARRON;0,199;0,333;0,92;0,018;0,021;0,096;0,08;0,021;0,064;0,004
J 624;J 624;CRIS;06/07/2010;810 F H2;WCB;TPA C16-150-PLATILLO 16-150;INGENIERIA PLACA GRANDE-CHICA;0,246;0,44;0,92;0,019;0,01;0,102;0,038;0,016;0,023;0,007
J 625;;CRIS;23/07/2010;45 F H3;WCB;CPO C16-150;;0,232;0,491;0,92;0,018;0,006;0,075;0,027;<0.002;0,016;0,005
J 626;;CARRERA;23/07/2010;46 F H4;WCB;CPO C16-150(SIN ID.N. COLADA);;0,239;0,51;1,01;0,022;0,008;0,065;0,042;0,015;0,016;0,003
J 627;;CARRERA;21/07/2010;895 F H1;WCB;TPA C14-150;;0,233;0,236;0,397;0,016;0,011;0,024;0,024;0,008;0,019;0,003
J 627;;CARRERA;20/07/2010;887 F H1;WCB;TPA C14-150(1)-CPO STUFFIN(2);VOL TROSARELLO(5)-VOL4-600(3)G;0,219;0,5;0,77;0,019;0,013;0,038;0,028;0,012;0,015;0,002
J 629;;CRIS;21/07/2010;89 F H4;WCB;CPO C14-150;;0,218;0,319;0,87;0,025;0,009;0,136;0,045;0,013;0,018;0,003
J 630;;CRIS;21/07/2010;89 F H4;WCB;CPO C14-150;;0,218;0,319;0,87;0,025;0,009;0,136;0,045;0,013;0,018;0,003
J 631;J 593;J 631;06/07/2010;811 F H2;WCB;;;0,193;0,382;0,8;0,019;0,011;0,12;0,068;0,014;0,024;0,003
J 631;J631/PLAC.ENG.VTE.ANILLOS;CARRERA;08/07/2010;28 F H3;WCB;TPA C6-150(4)-ANILLO C6-150(8);PLACA DE ENGANCHE (8);0,203;0,54;0,9;0,019;0,012;0,149;0,055;0,02;0,024;0,005
J 633;;CRIS;02/07/2010;792 F H2; WCB;CPO C6-150(4);;0,24;0,54;0,98;0,017;0,01;0,111;0,036;0,02;0,031;0,005
J 633;J633/J634/CANTARUTTI/AR1222;CARRERA;02/07/2010;795 F H2; WCB;CPO C6-150;;0,261;0,492;0,85;0,016;0,01;0,044;0,029;0,015;0,019;0,002
J 634;;CARRERA;05/07/2010;2 F H3;WCB;;;0,216;0,51;0,89;0,014;0,009;0,07;0,036;0,016;0,027;0,002
J 634;J633/J634/CANTARUTTI/AR1222;CARRERA;02/07/2010;795 F H2; WCB;CPO C6-150;;0,261;0,492;0,85;0,016;0,01;0,044;0,029;0,015;0,019;0,002
J 634;J634/J635;CARRERA;02/07/2010;796 F H2;WCB;CPO C6-150(1);;0,251;0,343;0,74;0,016;0,012;0,085;0,033;0,017;0,034;0,003
J 635;J634/J635;CARRERA;02/07/2010;796 F H2;WCB;CPO C6-150(2);;0,251;0,343;0,74;0,016;0,012;0,085;0,033;0,017;0,034;0,003
J 635;;CARRERA;05/07/2010;2 F H3;WCB;;;0,216;0,51;0,89;0,014;0,009;0,07;0,036;0,016;0,027;0,002
J 636;J636/VTE ITALRM;CARRERA;02/07/2010;797 FH2;WCB;CPO C6-150(3);;0,246;0,445;0,78;0,015;0,01;0,099;0,037;0,016;0,036;0,003
J 636;;RICHARD;05/07/2010;801F  H2;WCB;CUERPO C 6"150(2)  CIAMPO CUER;;0,217;0,421;0,93;0,014;0,011;0,098;0,07;0,024;0,028;0,003
J 636;;CARRERA;05/07/2010;2 F H3;WCB;;;0,216;0,51;0,89;0,014;0,009;0,07;0,036;0,016;0,027;0,002
J 637;;CRIS;02/07/2010;793  F H2;WCB;;;0,236;0,441;0,77;0,019;0,012;0,14;0,04;0,021;0,039;0,006
J 638;;RICHARD;01/07/2010;775 F H2;WCB;PLATILLOS C 3"600(30)  CUERPO;CPO 1830(3);0,248;0,46;0,99;0,014;0,016;0,109;0,042;<0.002;0,054;<0.001
J 638;;CRIS;26/08/2010;193 F H3;WCB;2 CAJAS;;0,197;0,421;0,91;0,026;0,025;0,057;0,067;0,019;0,102;0,004
J 639;;RICHARD;12/07/2010;828F  H1;WCB;BONETE E 24"150(1);;0,207;0,364;0,91;0,016;0,012;0,045;0,03;0,014;0,023;0,004
J 641;;CRIS;27/08/2010;199 F H3;LCB;;;0,233;0,428;0,69;0,019;0,02;0,215;0,117;0,023;0,139;0,005
J 641;ROSSMET;CARRERA;09/09/2010;1137 F H1;WCB;BTE E3-300;ARO N 1(12);0,239;0,52;0,69;0,017;0,013;0,205;0,048;0,015;0,018;0,004
J 643;AR1483#1/J643#1;CARRERA;27/08/2010;1073 F H2;WCB;;;0,16;0,59;0,93;0,016;0,009;0,091;0,046;0,02;0,037;0,006
J 643;;CRIS;30/08/2010;1076 F H2;WCB;;;0,22;0,58;0,88;0,015;0,014;0,108;0,049;0,022;0,044;0,004
J 644;;CRIS;30/08/2010;1076 F H2;WCB;;;0,22;0,58;0,88;0,015;0,014;0,108;0,049;0,022;0,044;0,004
J 645;AMRO;CRIS;29/10/2010;469 F H3;WCB;ANILLO C8-150;PLAQ INF-OJAL DE LANZA;0,227;0,41;0,84;0,015;0,013;0,042;0,049;0,014;0,036;0,005
L 005;SYLWAN;CARRERA;19/07/2010;79 F H4;WCB;CPO STUFFIN(4);BRIDA CON CABEZAL(10;0,2;0,493;0,79;0,015;0,012;0,036;0,027;0,012;0,041;0,003
L 005;AR1305/AR1363/J623/J622;CARRERA;15/07/2010;61 F H4;WCB;CPO SUP TULSA (2);;0,23;0,463;0,91;0,014;0,017;0,073;0,041;0,019;0,061;0,004
L 005;LODOLO;CARRERA;16/07/2010;70 F H4;WCB;CPO S/ FIN(20-GUIAS (5);;0,248;0,54;0,96;0,023;0,014;0,099;0,031;0,015;0,02;0,002
L 008;TULSA;;25/08/2010;1056 F H2;WCB;PRUEBA;;0,232;0,53;0,96;0,023;0,021;0,069;0,064;0,023;0,06;0,007
L 008;;CARRERA;21/07/2010;34 F H3;WCB;CPO STUFFIN(4);;0,226;0,56;0,94;0,023;0,008;0,109;0,041;0,016;0,016;0,005
L 009;TULSA;CARRERA;01/09/2010;1097 F H2;WCB;TRABA CANON#48/VTE E 12-150#1;BALANCIN(4)-CPO STUFFIN(8);0,22;0,62;0,96;0,026;0,013;0,044;0,035;0,018;0,018;0,002
L 009;;CARRERA;01/09/2010;1098 F  H2;WCB;CPO STUFFIN;VOL E8-150;0,219;0,59;1,01;0,025;0,012;0,08;0,036;0,019;0,016;0,003
L 009;;CRIS;21/09/2010;1193 F H2;WCB;8 CAJAS;T REGULABLE(32);0,192;0,53;0,89;0,016;0,014;0,148;0,037;0,015;0,024;0,005
L 009;TULSA;CRIS;08/10/2010;1281 F H2;WCB;2 PZAS;503 (30)-TENSOR CORTO;0,21;0,495;0,97;0,013;0,008;0,214;0,085;0,022;0,017;0,002
L 009;TULSA;CRIS;29/09/2010;340 F H3;WCB;PRENSA E8-150/PLAQ SUP/VOL E8-;SEGURO DE GANCHO-BANANITAS;0,221;0,424;0,89;0,018;0,013;0,047;0,04;0,016;0,038;0,003
L 010;TULSA;CARRERA;31/08/2010;216 F H3;WCB;CPO SUP(MOD 3281)-CPO STUFFING;;0,208;0,41;0,87;0,022;0,015;0,088;0,052;0,019;0,028;0,003
L 010;TULSA;CARRERA;02/09/2010;225 F H3;WCB;CPO;VTE E4-150#3-BTE E2-150(16);0,242;0,481;0,85;0,025;0,013;0,083;0,042;0,014;0,022;0,002
L 011;;CRIS;24/09/2010;AK60 MUESTRA4;A 60K;;;0,306;0,7;1,3;0,019;0,015;0,07;0,048;0,022;0,034;0,003
L 011;;CRIS;24/09/2010;318 F H3;ARO 1035;M 7473-75-77-76-78//DHH 105;H7 3267-68-69/10 PZAS;0,312;0,462;0,77;0,015;0,011;0,061;0,04;0,013;0,018;0,003
L 011;;CRIS;24/09/2010;AK60 MUESTRA6;A 60K;;;0,283;0,69;1,3;0,021;0,016;0,067;0,051;0,022;0,034;0,004
L 011;;CRIS;24/09/2010;AK60MUESTRA2;A60K;;;0,318;0,67;1,31;0,018;0,015;0,065;0,048;0,022;0,03;0,003
L 011;;CRIS;24/09/2010;AK60 MUESTRA3;A60K;;;0,306;0,69;1,32;0,022;0,017;0,068;0,046;0,022;0,034;0,004
L 011;;CRIS;24/09/2010;AK60 MUESTRA7;A60K;;;0,318;0,68;1,34;0,022;0,015;0,068;0,055;0,022;0,035;0,004
L 011;;CRIS;24/09/2010;AK60 MUESTRA5;A 60K;;;0,311;0,69;1,3;0,019;0,016;0,068;0,049;0,022;0,034;0,003
L 011;;CRIS;24/09/2010;AK60MUESTRA9;A60K;;;0,286;0,71;1,31;0,024;0,021;0,071;0,053;0,023;0,036;0,004
L 011;;CRIS;22/09/2010;306 F H3;ARO 1035;M 7440-22-41-23-16-37/PIEZAS T;H7 3233-34-17/PLAQ SUP (114);0,291;0,58;0,99;0,017;0,012;0,116;0,042;0,015;0,024;0,006
L 011;TULSA;CRIS;12/10/2010;395 F H3;API 6A 60 K TULSA;;;0,289;0,54;1,2;0,017;0,011;0,121;0,05;0,022;0,02;0,007
L 011;;CARRERA;20/09/2010;1192 F H2;WCB;10 CAJAS;PLAQ INF(78);0,202;0,54;0,89;0,016;0,012;0,281;0,038;0,016;0,024;0,004
L 011;;CRIS;24/09/2010;AK60MUESTRA8;A60K;;;0,328;0,72;1,31;0,023;0,021;0,07;0,051;0,022;0,035;0,004
L 011;;CRIS;24/09/2010;AK60MUESTRA10;A60K;;;0,326;0,7;1,32;0,021;0,017;0,068;0,05;0,024;0,035;0,004
L 011;COMNAC;CARRERA;21/09/2010;305 F H3;1030;24 PZAS(A60K);CAJA MARTEFER(5);0,355;0,69;1,36;0,023;0,02;0,083;0,055;0,021;0,035;0,004
L 011;TULSA;GUS;28/09/2010;1230FH2;A 60K;CPO SUPERIOR;;0,328;0,6;1,27;0,02;0,009;0,451;0,045;0,02;0,014;0,006
L 012;TULSA;CRIS;29/10/2010;1368 F H2;API 6A 60 K TULSA;CPO STUFING BOX;;0,242;0,498;1,29;0,016;0,013;0,05;0,044;0,02;0,031;0,007
L 013;;CRIS;02/11/2010;1383 F H2;API 6A 60 K TULSA;;;0,261;0,59;1,2;0,017;0,018;0,048;0,054;0,025;0,047;0,001
M 7527-29-30-31-28-25;;CRIS;01/10/2010;353 F H3;ARO 1035;DHM 130//H9 5773-78-79-77-76;;0,369;0,354;0,84;0,017;0,011;0,117;0,07;0,02;0,017;0,002
M 7536-4849-47-46;;CRIS;04/10/2010;358 F H3;ARO 1035;H9 5786-90-93-91-96-97-88;;0,4;0,472;0,96;0,016;0,01;0,122;0,065;0,021;0,02;0,003
N 006;HILLMAN;CARRERA;07/07/2010;821(A) F H2;WCB;CPO BOMBA BTN(2)-CABEZAL(2);CPO VALVULA BTN 040(2);0,212;0,372;0,77;0,021;0,011;0,041;0,03;0,021;0,017;0,004
N 008;HILLMANN;RICHARD;16/07/2010;64F  H4;GRIS;CAJA 130400(5)/CAJA N 8;CAJA N 9(1)-PIEZAS N/N(3)-TPA;3,3;1,99;0,65;0,018;0,021;0,028;0,02;0,011;0,016;0,001
N 009;HILLMANN;RICHARD;16/07/2010;64F  H4;GRIS;CAJA 130400(5)/CAJA N 8;CAJA N 9(1)-PIEZAS N/N(3)-TPA;3,3;1,99;0,65;0,018;0,021;0,028;0,02;0,011;0,016;0,001
N 010;;CRIS;12/07/2010;832 R H2;GRIS;ESCUADRA 125(16)-HILLMANN;CPOS 130-402-1(3);3,25;1,64;1,08;0,02;0,025;0,077;0,027;0,009;0,014;0,003
N 011;;CRIS;06/07/2010;13 F H3;GRIS;CAMISA BOMBA(4)-TPA EJE(9)-CPO;CABEZAL POSTERIOR(4)-TPA ENGRA;3,35;2,08;0,55;0,021;0,041;0,087;0,037;0,009;0,06;0,002
N 012;;CRIS;06/07/2010;13 F H3;GRIS;CAMISA BOMBA(4)-TPA EJE(9)-CPO;CABEZAL POSTERIOR(4)-TPA ENGRA;3,35;2,08;0,55;0,021;0,041;0,087;0,037;0,009;0,06;0,002
N 013;;CRIS;12/07/2010;832 R H2;GRIS;ESCUADRA 125(16)-HILLMANN;CPOS 130-402-1(3);3,25;1,64;1,08;0,02;0,025;0,077;0,027;0,009;0,014;0,003
N 014;HILLMANN;CRIS;06/07/2010;13 F H3;GRIS;CAMISA BOMBA(4)-TPA EJE(9)-CPO;CABEZAL POSTERIOR(4)-TPA ENGRA;3,35;2,08;0,55;0,021;0,041;0,087;0,037;0,009;0,06;0,002
N 015;HILLMANN;CRIS;06/07/2010;13 F H3;GRIS;CAMISA BOMBA(4)-TPA EJE(9)-CPO;CABEZAL POSTERIOR(4)-TPA ENGRA;3,3;2,18;0,55;0,21;0,081;0,087;0,037;0,009;0,06;0,002
N 016;;CRIS;12/07/2010;831 F H1;GRIS;;;3,44;2,43;0,88;0,019;0,039;0,101;0,033;0,022;0,022;0,005
N 016;HILLMANN;CRIS;12/07/2010;831 F H1;GRIS;CPO BOMBA HILLMANN;;3,24;2,23;0,78;0,19;0,089;0,101;0,033;0,022;0,022;0,005
N 017;HILLMANN;CRIS;12/07/2010;830 F H1;GRIS/SAE 120;CPO BOMBA HILLLMANN(2);;3,18;2,14;0,73;0,17;0,084;0,043;0,029;0,015;0,017;0,004
N 019;HILLMANN;CRIS;30/08/2010;208 F H3;GRIS;CPO BOMBA(5);836605-1/836508-1;3,71;2,45;0,335;0,019;0,014;0,042;0,022;0,007;0,02;<0.001
N 019;HILLMANN;CRIS;30/08/2010;208 F H3;GRIS;CPO BOMBA(5);836605-1/;3,71;2,45;0,335;0,019;0,014;0,042;0,022;0,007;0,02;<0.001
P 23;INDAVE;CARRERA;25/08/2010;1060 F H2;CF8M;CPO F1-800(4)-TPA F1-800(4);PRENSA G3-150(10 CAJAS);0,08;0,92;0,93;0,024;0,01;18,33;9,09;2,02;0,314;0,071
PATRON 316;;CRIS;27/08/2010;CALIBRACION DE ESPECTRO AROS;PATRON316;CALIBRACION DEL ESPECTROMETRO;;0,028;0,454;1,31;0,031;0,037;16,84;10,16;2,28;0,237;0,096
REPUESTOS;AMRO;GUS;23/10/2010;1341FH2;WCB;;;0,221;0,308;1,02;0,013;0,008;0,047;0,052;0,015;0,017;0,002
T 222;;CRIS;15/07/2010;HUGO CF8M 15-07-10;CF8M;CONTRAPRUEBA THORSA S.A.;;0,052;0,68;0,8;0,032;0,013;18,15;10,88;2,17;0,257;0,067
T 222;;CRIS;15/07/2010;HUGO CF8M 15-07-10;CF8M;CONTRAPRUEBA THORSA S.A.;;0,065;0,66;0,73;0,045;0,017;18,1;11,17;2,23;0,263;0,07
T 222;;CRIS;15/07/2010;HUGO CF8M 15-07-10;CF8M;CONTRAPRUEBA THORSA S.A.;;0,056;0,63;0,72;0,032;0,013;18,1;10,73;2,14;0,248;0,068
T 222;;CRIS;15/07/2010;HUGO CF8M 15-07-10;CF8M;CONTRAPRUEBA THORSA S.A.;;0,049;0,63;0,72;0,033;0,012;18,05;10,84;2,16;0,252;0,068
T 222;;CRIS;15/07/2010;HUGO CF8M 15-07-10;CF8M;CONTRAPRUEBA THORSA S.A.;;0,061;0,64;0,73;0,031;0,014;18,15;10,85;2,18;0,255;0,069
T 222;;CRIS;15/07/2010;HUGO CF8M 15-07-10;CF8M;CONTRAPRUEBA PARA THORSA S.A.;;0,057;0,65;0,74;0,035;0,014;18,1;10,89;2,18;0,255;0,068
TULSA;TULSA;CARRERA;15/07/2010;61 F H4;WCB;CPO T COD 1915(2);VOL E4-600(3)-PLACA ENGANCHE(2;0,25;0,463;0,93;0,014;0,017;0,073;0,041;0,019;0,061;0,004
TULSA;TULSA;CRIS;20/07/2010;83 F H4;WCB;CPO E6-900(1);CPO ESTUFA91)-VOL TROSARELLO;0,21;0,38;0,83;0,017;0,009;0,033;0,028;0,012;0,02;0,004
TULSA;TULSA;CARRERA;13/08/2010;1010 F H1;WCB;GARGANTA#16-CPO T#4-PLAQ.SUP;;0,213;0,486;0,89;0,019;0,01;0,094;0,059;0,024;0,029;0,003
TULSA;TULSA;CARRERA;11/08/2010;136 F H4;WCB;CPO E6-300(1)-PLAQ INF(30)-PLA;CPO T (2);0,238;0,51;0,94;0,024;0,02;0,093;0,051;0,023;0,048;0,004
TULSA;TULSA;CRIS;20/07/2010;83 F H4;WCB;CPO E6-900(1);CPO ESTUFA91)-VOL TROSARELLO;0,21;0,38;0,83;0,017;0,009;0,033;0,028;0,012;0,02;0,004
TULSA;Err:508;CARRERA;16/07/2010;69 F H4;WCB;CUNA E3-150(12)-CPO T COD 19;PLACA ENGANCHE(5)-GUIAS(4);0,18;0,499;0,98;0,023;0,012;0,13;0,033;0,016;0,018;0,003
AR 1503;;CRIS;10/09/2010;1139 F H1;WCB;CPO E6-300;;0,225;0,465;0,79;0,017;0,01;0,073;0,037;0,013;0,018;0,003
AR 1504;;CARRERA;13/09/2010;266 F H4;WCB;BTE E6-300(2);;0,224;0,57;0,95;0,015;0,02;0,033;0,043;0,015;0,075;0,004
AR 1504;;CRIS;13/09/2010;263 F H4;WCB;;;0,241;0,417;0,65;0,016;0,012;0,042;0,035;0,016;0,027;0,008
AR 1504;;CRIS;15/09/2010;272 F H3;WCB;CPO E6-300;;0,236;0,459;0,83;0,013;0,019;0,099;0,057;0,02;0,066;0,003
AR 1504;;CRIS;14/09/2010;1158 F H1;WCB;;;0,211;0,472;0,98;0,012;0,018;0,057;0,032;0,018;0,063;0,001
AR 1504;GIACOMETTI;CRIS;29/09/2010;339 F H3;WCB;GUIA EMBOQUE(4);SUPLEMENTO INFERIOR;0,224;0,405;0,6;0,017;0,011;0,042;0,04;0,012;0,015;0,003
AR 1505;;CRIS;13/09/2010;263 F H4;WCB;;;0,241;0,417;0,65;0,016;0,012;0,042;0,035;0,016;0,027;0,008
AR 1505;;CARRERA;01/09/2010;1096 F H2;WCB;CAJA 1;;0,214;0,59;0,96;0,028;0,014;0,054;0,042;0,016;0,02;0,002
AR 1505;;CRIS;14/09/2010;1158 F H1;WCB;;;0,211;0,472;0,98;0,012;0,018;0,057;0,032;0,018;0,063;0,001
AR 1506;;CARRERA;01/09/2010;1098 F  H2;WCB;CAJAS 2;VOL E8-150;0,219;0,59;1,01;0,025;0,012;0,08;0,036;0,019;0,016;0,003
AR 1506;;CARRERA;02/09/2010;227 F H3;WCB;BTE E6-300(1);;0,215;0,55;0,89;0,019;0,013;0,062;0,039;0,015;0,019;0,002
AR 1506;;CARRERA;31/08/2010;218 F H3;WCB;BTE E6-300;;0,229;0,54;0,85;0,014;0,011;0,046;0,038;0,015;0,027;0,002
AR 1507;TULSA;CARRERA;02/09/2010;225 F H3;WCB;CAJAS 4;VTE E4-150#3-BTE E2-150(16);0,242;0,481;0,85;0,025;0,013;0,083;0,042;0,014;0,022;0,002
AR 1507;;CRIS;02/09/2010;224 F H3;WCB;BTE E6-300(1);;0,198;0,469;0,76;0,023;0,014;0,326;0,057;0,018;0,026;0,005
AR 1508;;CARRERA;07/09/2010;1121 F H1;WCB;BTE E6-300(6);;0,209;0,6;0,97;0,029;0,009;0,272;0,036;0,017;0,015;0,004
AR 1508;GONELLA-SYLWAN;CARRERA;07/09/2010;239 F H4;WCB;BTE E6-300(1);TPA(1);0,245;0,52;0,76;0,023;0,021;0,078;0,057;0,018;0,033;0,003
AR 1508;TROSARELLO;CARRERA;03/09/2010;233 F H3;WCB;;BRIDA FIJA(11)-BRIDA GIRATORIA;0,193;0,483;0,93;0,017;0,013;0,117;0,05;0,018;0,025;0,003
AR 1508;;CARRERA;08/09/2010;245 F H4;WCB;BTE E6-300(1);;0,22;0,53;0,83;0,022;0,013;0,112;0,075;0,021;0,028;0,004
AR 1509;GONELLA-SYLWAN;CARRERA;07/09/2010;239 F H4;WCB;BTE E6-300(1);TPA(1);0,245;0,52;0,76;0,023;0,021;0,078;0,057;0,018;0,033;0,003
AR 1510;;CARRERA;08/09/2010;245 F H4;WCB;BTE E6-300(5);;0,22;0,53;0,83;0,022;0,013;0,112;0,075;0,021;0,028;0,004
AR 1510;ROSSMET-SYLWAN-GONELLA;CARRERA;10/09/2010;253 F H4;WCB;BTE E6-300(2);VOL E8-150(6)-ARO N1(5)-TPA(2);0,206;0,52;0,76;0,02;0,013;0,101;0,046;0,016;0,023;0,005
AR 1510;LIDERAR;CRIS;10/09/2010;1142 F H1;WCB;CPO EMG 1830-3/BTE E6-300;PLACA;0,242;0,484;1,19;0,018;0,01;0,066;0,048;0,026;0,017;0,009
AR 1511;;CARRERA;08/09/2010;246 F H4;WCB;CPO G6-900(1);;0,208;0,56;0,9;0,018;0,01;0,066;0,038;0,017;0,02;0,005
AR 1512;;CARRERA;08/09/2010;245 F H4;WCB;CPO E6-900(1);;0,22;0,53;0,83;0,022;0,013;0,112;0,075;0,021;0,028;0,004
AR 1513;;CRIS;14/09/2010;1156 F H1;WCB;;;0,221;0,48;0,78;0,012;0,018;0,068;0,036;0,014;0,062;0,002
AR 1514;;CRIS;14/09/2010;1156 F H1;WCB;;;0,221;0,48;0,78;0,012;0,018;0,068;0,036;0,014;0,062;0,002
AR 1515;;CARRERA;08/09/2010;1130 F H1;WCB;TPA G6-900(1);;0,218;0,54;0,87;0,031;0,013;0,065;0,045;0,015;0,019;0,002
AR 1516;;CARRERA;08/09/2010;1130 F H1;WCB;TPA G6-900(1);;0,218;0,54;0,87;0,031;0,013;0,065;0,045;0,015;0,019;0,002
AR 1517;;CRIS;14/09/2010;1154 F H1;WCB;BTE G6-900;OJAL DE LANZA-SEGURO DE GANCHO;0,197;0,6;0,9;0,013;0,024;0,236;0,036;0,017;0,058;0,004
AR 1518;;CRIS;14/09/2010;1154 F H1;WCB;BTE G6-900;OJAL DE LANZA-SEGURO DE GANCHO;0,197;0,6;0,9;0,013;0,024;0,236;0,036;0,017;0,058;0,004
AR 1519;GIACOMETTI;CRIS;24/09/2010;321 F H3;WCB;ENGRANAJE(3);PRENSA-ANILLO;0,236;0,468;0,89;0,02;0,014;0,125;0,059;0,018;0,027;0,003
AR 1519;COMNAC;CRIS;21/09/2010;303 F H3;WCB;BARRON;PLAQ SUP;0,196;0,432;0,76;0,017;0,018;0,086;0,055;0,017;0,045;0,003
